Random Scheduling,Hillclimber,Exponential,Sigmoidal,Linear,Geman
-755,648,865,471,801,828
-755,647,865,471,801,828
-756,647,865,471,801,828
-756,647,865,471,801,828
-756,647,865,471,801,827
-756,647,865,470,800,827
-756,646,865,470,800,827
-757,646,865,470,800,827
-757,646,863,470,800,827
-757,646,862,470,799,827
-757,646,862,470,799,827
-758,646,861,469,799,827
-759,645,861,469,799,827
-759,645,861,469,799,827
-759,645,861,469,798,827
-759,645,861,468,798,827
-759,645,860,468,798,827
-760,645,860,468,798,827
-760,645,860,467,798,826
-760,645,860,467,798,826
-761,644,860,467,798,826
-761,644,860,466,797,826
-762,644,860,466,797,826
-762,644,860,466,797,826
-762,643,860,466,797,826
-762,643,860,466,796,826
-762,643,860,466,796,825
-762,643,860,465,796,825
-762,643,860,465,796,825
-762,643,860,465,796,825
-763,642,860,465,796,825
-763,642,860,465,796,824
-763,642,860,465,796,824
-764,642,860,465,796,824
-764,641,860,465,795,824
-764,641,860,464,795,824
-764,641,860,464,795,823
-765,641,860,464,795,823
-765,641,860,464,795,823
-765,641,860,464,795,823
-765,640,860,464,795,823
-765,640,860,463,795,823
-765,640,860,463,795,823
-765,640,860,463,794,823
-765,640,860,462,794,823
-765,639,860,462,794,823
-766,639,860,462,794,823
-766,638,860,462,793,822
-766,638,860,462,793,822
-766,638,860,462,793,822
-766,637,860,461,793,822
-767,637,860,461,793,822
-767,637,860,461,793,822
-767,636,860,461,793,822
-767,636,860,461,793,822
-768,636,860,461,793,822
-768,635,860,461,793,821
-768,635,860,461,793,821
-768,635,860,460,793,821
-768,635,860,460,793,821
-768,635,860,460,792,821
-768,635,860,460,792,821
-770,635,860,460,792,821
-770,635,860,460,792,821
-770,635,860,460,792,820
-770,634,860,460,791,820
-771,633,860,460,791,820
-771,633,860,459,791,820
-771,633,860,459,791,820
-772,633,860,459,791,820
-772,633,860,459,791,820
-773,632,860,459,791,820
-773,632,860,459,791,819
-773,632,860,459,790,819
-773,632,860,459,790,819
-773,631,860,458,790,819
-773,631,858,458,790,818
-774,631,857,458,790,818
-775,631,857,458,790,818
-775,631,857,457,789,818
-775,631,856,457,789,818
-775,631,856,457,788,818
-775,631,855,457,787,817
-776,631,855,457,787,817
-776,631,855,457,787,817
-776,630,855,457,787,817
-776,630,855,456,787,817
-777,630,855,456,787,817
-777,630,855,456,787,817
-777,630,855,455,787,817
-777,630,855,455,787,817
-778,630,855,455,787,817
-779,629,855,455,787,817
-779,629,855,455,786,817
-780,629,855,454,786,817
-780,629,855,454,786,817
-780,628,855,454,786,816
-781,628,855,454,786,816
-781,627,855,454,786,816
-781,627,855,453,786,816
-782,627,855,452,786,816
-782,627,855,452,786,816
-782,627,853,452,785,816
-782,627,851,452,785,816
-783,627,851,451,785,815
-783,626,851,450,785,815
-783,626,851,450,785,815
-784,626,850,450,785,815
-784,626,850,450,785,815
-784,626,850,450,785,815
-784,626,850,449,785,815
-784,625,850,449,785,815
-785,625,850,449,785,815
-785,625,850,449,784,815
-786,625,850,449,784,815
-787,625,850,448,784,815
-787,625,850,448,784,814
-787,625,850,448,784,814
-787,625,850,447,784,814
-788,625,850,447,784,814
-789,624,850,447,784,814
-789,624,850,447,784,813
-789,623,850,447,784,813
-790,622,850,447,783,813
-791,622,850,447,783,813
-791,622,850,447,783,813
-791,621,850,446,783,813
-792,621,850,446,782,813
-792,621,850,446,782,812
-792,621,850,445,782,812
-793,621,850,445,782,812
-793,620,850,445,782,812
-793,620,850,445,782,812
-793,620,850,445,782,812
-795,620,850,444,781,812
-795,618,850,444,781,812
-796,618,850,444,781,812
-796,617,850,444,781,812
-796,617,850,444,781,812
-797,617,847,444,781,812
-797,617,846,443,781,811
-797,617,845,443,780,811
-797,616,845,443,780,811
-798,616,845,443,780,811
-798,616,845,442,780,811
-798,616,845,442,780,811
-798,615,845,442,780,811
-798,615,845,442,780,811
-798,615,845,442,780,811
-799,615,845,442,780,810
-799,615,845,442,780,810
-799,615,843,441,780,810
-799,615,841,441,780,810
-799,615,841,441,779,810
-800,615,840,440,779,810
-801,614,840,440,779,810
-802,613,840,440,779,810
-802,613,840,439,779,810
-802,612,840,439,779,810
-803,612,840,439,779,810
-804,612,840,439,779,810
-804,612,840,438,779,810
-804,612,840,437,779,810
-805,612,840,437,779,809
-805,612,840,437,779,809
-805,611,840,436,778,809
-805,611,840,436,778,809
-806,611,840,435,778,809
-806,611,840,435,778,808
-807,611,840,434,778,808
-808,610,840,434,778,808
-809,610,840,434,777,808
-809,610,840,434,777,808
-809,610,840,434,777,808
-810,610,840,433,777,808
-810,610,840,433,777,808
-811,610,840,432,777,807
-811,610,840,432,777,807
-811,610,840,432,776,807
-811,609,840,432,775,806
-812,609,840,432,775,806
-812,609,840,431,775,806
-813,609,840,431,775,805
-813,609,840,431,775,805
-813,608,840,431,775,805
-814,608,840,431,775,805
-814,607,840,431,775,805
-815,607,840,430,774,805
-815,607,840,430,774,805
-816,607,840,430,773,805
-816,607,840,429,773,804
-816,606,840,429,773,804
