Random Scheduling,Hillclimber,Exponential,Linear
844,1170,1291,1145
973,1222,1196,1201
980,1183,1255,1102
990,1243,1239,1210
859,1208,1244,1094
892,1074,1135,1132
975,1127,1187,1121
980,1138,1158,1149
839,1159,1140,1173
946,1261,1261,1121
886,1215,1239,1123
852,1051,1178,1167
875,1205,1147,1091
923,1158,1251,1140
885,1146,1151,1165
976,1104,1237,1142
991,1154,1091,1175
929,1090,1181,1153
981,1188,1163,1137
951,1190,1258,1144
926,1250,1222,1098
887,1113,1189,1102
1017,1114,1142,1144
997,1157,1227,1219
945,1215,1208,1215
886,1104,1264,1050
933,1177,1236,1098
861,1213,1293,1138
913,1186,1136,1208
986,1218,1197,1139
894,1099,1056,1193
942,1108,1174,1135
948,1214,1173,1133
1066,1072,1099,1161
896,1106,1131,1046
964,1224,1239,1098
977,1171,1085,1178
947,1124,1237,1127
925,1124,1063,1169
972,1246,1163,1097
879,1172,1192,1133
942,1124,1104,1132
943,1148,1089,1188
951,1088,1120,1109
958,1201,1199,1153
873,1150,1200,1001
873,1206,1128,1114
1012,1171,1221,1115
842,1152,1194,1145
1001,1207,1144,1150
854,1132,1274,1071
976,1205,1207,1118
986,1172,1255,1083
960,1139,1146,1170
896,1225,1262,1113
980,1203,1195,1141
948,1156,1250,1211
940,1197,1194,1226
887,1223,1191,1141
